name	Population	Total Crime Rate (per 1,000 residents)	Violent Crime Rate	Property Crime Rate	Police Officers	Officers per 10,000 residents	Police Employees	Employees per 10,000 residents	2020 Police Budget	Police Budget per capita
Shrewsbury, MA	37973	3.1	0.1	3	45	12.2	57	15.5	$5,523,925.00	$145.47
Brookline, MA	59234	11.7	1	10.8	129	21.7	153	25.7	$9,011,040.00	$152.13
Franklin, MA	33230	3.6	0.2	3.5	46	13.8	54	16.2	$5,336,655.00	$160.60
North Andover, MA	31296	8.1	1.7	6.5	40	13.4	51	17.1	$5,253,719.00	$167.87
Melrose, MA	28193	5.8	0.5	5.3	47	16.7	47	16.7	$5,073,129.26	$179.94
Beverly, MA	42312	7.4	1.1	6.3	68	16.5	72	17.4	$7,781,690.00	$183.91
Arlington, MA	45624	5	0.8	4.3	66	14.7	84	18.7	$8,427,498.00	$184.72
Billerica, MA	43784	4.8	0.9	4	65	15.1	78	18.2	$8,495,213.00	$194.03
Bridgewater, MA	27395	8.1	2.8	5.4					$5,558,278.00	$202.89
Andover, MA	36403	4.9	0.2	4.8	51	14.3	71	20	$7,541,641.00	$207.17
Reading, MA	25337	5.9	0.2	5.8	42	16.3	55	21.3	$5,316,250.00	$209.82
Natick, MA	36229	13.2	1.6	11.7	56	15.2	69	18.8	$7,634,780.00	$210.74
Framingham, MA	72032	14.84	3.48	11.36	125	17.5	139	19.5	$15,224,815.00	$211.36
Wakefield, MA	27135	8.1	1.6	6.6	45	16.6	46	17	$5,947,868.00	$219.20
Wellesley, MA	29673	7.1	0.9	6.2	39	13.4	45	15.5	$6,553,273.00	$220.85
Lexington, MA	33792	3.6	0.2	3.4	47	14	61	18.1	$7,567,030.00	$223.93
Needham, MA	31248	5.2	0.5	4.7	46	15	55	17.9	$7,063,740.00	$226.05
Somerville, MA	80434	14.8	2.2	12.6	129	16.2	162	20.3	$18,242,995.00	$226.81
Marshfield, MA	25905	4.5	1.3	3.2	46	17.9	49	19.1	$5,954,122.00	$229.84
Newton, MA	88904	7.8	0.7	7.2	149	16.7	195	21.9	$22,804,754.00	$256.51
Milton, MA	27616	2.7	0.4	2.3					$7,439,070.00	$269.38
Watertown, MA	35954	8.7	0.8	8	67	19.3	71	20.5	$9,960,086.00	$277.02
Belmont, MA	26330	6.6	0.2	6.5	46	17.9	60	23.4	$7,472,519.00	$283.80
Waltham, MA	62979	11.9	2	9.9	142	22.3	170	26.7	$20,270,701.00	$321.86
MA Cities Median	NaN	6.9	0.8	6	NaN	16.25	NaN	18.75	NaN	$211.05
National Median 	50,000-100,000	NaN	NaN	NaN	NaN	15.6	NaN	19.7	NaN	NaN
National Median 	NaN	NaN	NaN	NaN	NaN	16.1	NaN	20.2	NaN	NaN
